ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
93276,50.0%,3,100.0%,2,0.0%,1,0.0%,1,-
93280,37.5%,2 2,100.0%,1 6,-11.1%,8,12.5%,9,8
93283,261.3%,2 24,24.0%,6 2,47.1%,5 0,36.0%,3 4,2 5
93285,3.4%,7 50,11.2%,7 25,7.8%,6 52,20.0%,6 05,5 04
93287,28.6%,9,16.7%,7,0.0%,6,100.0%,6,3
93301,103.3%,6 1,15.4%,3 0,-16.1%,2 6,-16.2%,3 1,3 7
93304,63.7%,2 39,-2.0%,1 46,-10.2%,1 49,-2.4%,1 66,1 70
93305,68.5%,2 14,-9.9%,1 27,-4.7%,1 41,1.4%,1 48,1 46
93306,167.7%,2 49,19.2%,9 3,-3.7%,7 8,-6.9%,8 1,8 7
93307,58.8%,3 70,-9.3%,2 33,-9.8%,2 57,-0.3%,2 85,2 86
93308,155.7%,2 48,21.3%,9 7,-12.1%,8 0,-10.8%,9 1,1 02
93309,160.5%,9 9,31.0%,3 8,-6.5%,2 9,-13.9%,3 1,3 6
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 8,of 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
93311,183.3%,3 4,50.0%,1 2,33.3%,8,50.0%,6,4
93312,195.5%,6 5,46.7%,2 2,-11.8%,1 5,70.0%,1 7,1 0
93313,148.6%,8 7,25.0%,3 5,-12.5%,2 8,6.7%,3 2,3 0
93314,80.0%,3 6,42.9%,2 0,-26.3%,1 4,26.7%,1 9,1 5
93501,178.9%,5 3,11.8%,1 9,-10.5%,1 7,11.8%,1 9,1 7
93505,143.2%,9 0,60.9%,3 7,0.0%,2 3,-14.8%,2 3,2 7
93516,600.0%,2 1,-62.5%,3,33.3%,8,0.0%,6,6
93518,25.4%,2 12,43.2%,1 69,22.9%,1 18,45.5%,9 6,6 6
93523,133.3%,1 4,100.0%,6,0.0%,3,-40.0%,3,5
93527,78.6%,5 0,3.7%,2 8,17.4%,2 7,4.5%,2 3,2 2
93528,25.0%,5,0.0%,4,0.0%,4,33.3%,4,3
93531,33.8%,1 07,2.6%,8 0,-9.3%,7 8,21.1%,8 6,7 1
93555,343.3%,1 33,76.5%,3 0,-15.0%,1 7,-25.9%,2 0,2 7
93560,212.9%,9 7,34.8%,3 1,35.3%,2 3,-10.5%,1 7,1 9
93561,38.5%,"1 ,594",28.7%,"1 ,151",26.8%,8 94,31.5%,7 05,5 36
93202,0.0%,3,50.0%,3,0.0%,2,0.0%,-,-
93204,-33.3%,6,800.0%,9,0.0%,1,0.0%,1,1
93212,25.0%,2 0,-23.8%,1 6,40.0%,2 1,-16.7%,1 5,1 8
93230,282.4%,6 5,6.3%,1 7,220.0%,1 6,0.0%,5,5
93239,100.0%,2,-50.0%,1,100.0%,2,-50.0%,1,2
93245,250.0%,1 4,100.0%,4,100.0%,2,0.0%,1,1
95422,120.8%,6 78,52.0%,3 07,38.4%,2 02,78.0%,1 46,8 2
95423,62.1%,3 08,102.1%,1 90,49.2%,9 4,65.8%,6 3,3 8
95426,31.8%,3 73,40.1%,2 83,110.4%,2 02,28.0%,9 6,7 5
95443,28.6%,3 6,47.4%,2 8,216.7%,1 9,200.0%,6,2
95451,22.4%,"1 ,248",32.6%,"1 ,020",12.4%,7 69,30.0%,6 84,5 26
95453,133.3%,3 57,82.1%,1 53,64.7%,8 4,50.0%,5 1,3 4
95457,31.0%,4 48,53.4%,3 42,35.2%,2 23,46.0%,1 65,1 13
95458,80.9%,2 08,57.5%,1 15,32.7%,7 3,161.9%,5 5,2 1
95461,29.6%,4 47,48.7%,3 45,73.1%,2 32,50.6%,1 34,8 9
95464,96.3%,1 59,76.1%,8 1,48.4%,4 6,121.4%,3 1,1 4
95467,30.6%,2 86,49.0%,2 19,116.2%,1 47,88.9%,6 8,3 6
95485,42.2%,1 45,59.4%,1 02,14.3%,6 4,33.3%,5 6,4 2
95493,75.0%,2 1,71.4%,1 2,40.0%,7,0.0%,5,5
97635,50.0%,3,0.0%,2,0.0%,2,0.0%,2,-
96009,0.0%,6,0.0%,-,0.0%,-,0.0%,-,-
96056,-7.3%,5 1,205.6%,5 5,28.6%,1 8,133.3%,1 4,6
96109,76.9%,2 3,-7.1%,1 3,75.0%,1 4,60.0%,8,5
96113,180.0%,1 4,0.0%,5,0.0%,-,0.0%,-,-
96114,120.6%,2 25,61.9%,1 02,40.0%,6 3,15.4%,4 5,3 9
96117,0.0%,5,0.0%,-,-100.0%,-,0.0%,1,-
96119,-50.0%,1,-50.0%,2,33.3%,4,200.0%,3,1
96121,100.0%,2 2,57.1%,1 1,40.0%,7,66.7%,5,3
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
96123,0.0%,-,0.0%,-,0.0%,-,-100.0%,-,1
96128,25.0%,5,100.0%,4,0.0%,2,0.0%,-,-
96130,131.3%,4 44,100.0%,1 92,20.0%,9 6,40.4%,8 0,5 7
96132,100.0%,2,0.0%,1,0.0%,-,0.0%,-,-
96136,0.0%,1,-100.0%,-,0.0%,1,0.0%,-,-
90001,-3.5%,"1 ,673",-1.0%,"1 ,734",-3.4%,"1 ,752",-2.5%,"1 ,814","1 ,860"
90002,-1.8%,"1 ,106",-3.8%,"1 ,126",-3.2%,"1 ,170",-5.1%,"1 ,209","1 ,274"
90003,3.2%,"1 ,597",-0.8%,"1 ,547",-3.9%,"1 ,560",-5.6%,"1 ,623","1 ,719"
90004,5.3%,3 39,4.5%,3 22,-7.8%,3 08,-7.0%,3 34,3 59
90005,38.2%,9 4,0.0%,6 8,-11.7%,6 8,5.5%,7 7,7 3
90006,3.7%,4 72,-0.2%,4 55,-7.1%,4 56,-4.3%,4 91,5 13
90007,-0.3%,3 70,-10.4%,3 71,-4.4%,4 14,-4.6%,4 33,4 54
90008,5.1%,2 08,0.0%,1 98,-6.2%,1 98,-8.3%,2 11,2 30
90011,-0.4%,"2 ,398",-1.3%,"2 ,408",-6.0%,"2 ,440",-4.5%,"2 ,597","2 ,719"
90012,17.6%,8 7,7.2%,7 4,-12.7%,6 9,12.9%,7 9,7 0
90013,80.0%,9,25.0%,5,-20.0%,4,66.7%,5,3
90014,0.0%,5,0.0%,-,0.0%,-,0.0%,-,-
90015,0.0%,7 8,2.6%,7 8,18.8%,7 6,-5.9%,6 4,6 8
90016,-2.6%,5 53,-1.0%,5 68,-7.4%,5 74,-7.6%,6 20,6 71
90017,58.3%,1 9,-14.3%,1 2,16.7%,1 4,9.1%,1 2,1 1
90018,-1.0%,8 83,-2.0%,8 92,-6.9%,9 10,-5.1%,9 77,"1 ,029"
90019,6.7%,6 05,-0.2%,5 67,-6.6%,5 68,-9.8%,6 08,6 74
90020,53.8%,4 0,8.3%,2 6,14.3%,2 4,-25.0%,2 1,2 8
90021,7.7%,1 4,18.2%,1 3,0.0%,1 1,0.0%,1 1,1 1
90022,-0.3%,"1 ,057",-3.1%,"1 ,060",-5.9%,"1 ,094",-4.7%,"1 ,163","1 ,220"
90023,-2.4%,"1 ,017",-3.1%,"1 ,042",-5.3%,"1 ,075",-2.9%,"1 ,135","1 ,169"
90024,105.1%,8 0,21.9%,3 9,3.2%,3 2,-8.8%,3 1,3 4
90025,46.2%,5 7,-7.1%,3 9,-10.6%,4 2,-2.1%,4 7,4 8
90026,-0.5%,7 29,-1.2%,7 33,-5.2%,7 42,-4.7%,7 83,8 22
90027,13.9%,3 19,15.2%,2 80,-2.8%,2 43,7.8%,2 50,2 32
90028,0.0%,3 3,-8.3%,3 3,-7.7%,3 6,2.6%,3 9,3 8
90029,2.5%,2 42,6.3%,2 36,-2.2%,2 22,-16.5%,2 27,2 72
90031,-0.7%,7 05,3.3%,7 10,-8.3%,6 87,-3.1%,7 49,7 73
90032,-0.3%,5 90,0.5%,5 92,-4.8%,5 89,-7.1%,6 19,6 66
90033,-5.8%,6 50,-1.4%,6 90,-6.0%,7 00,-4.5%,7 45,7 80
90034,1.1%,9 0,-3.3%,8 9,-2.1%,9 2,-11.3%,9 4,1 06
90035,44.2%,7 5,-13.3%,5 2,3.4%,6 0,-4.9%,5 8,6 1
90036,24.7%,9 6,14.9%,7 7,6.3%,6 7,-7.4%,6 3,6 8
90037,-0.4%,"1 ,355",-1.2%,"1 ,360",-5.5%,"1 ,377",-3.6%,"1 ,457","1 ,512"
90038,12.9%,1 14,-4.7%,1 01,-5.4%,1 06,-10.4%,1 12,1 25
90039,1.8%,3 31,4.2%,3 25,-7.1%,3 12,-3.4%,3 36,3 48
90040,-0.6%,1 57,-5.4%,1 58,-1.8%,1 67,-4.0%,1 70,1 77
90041,18.3%,2 71,-2.6%,2 29,-2.1%,2 35,-3.2%,2 40,2 48
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
90042,5.9%,8 23,-1.0%,7 77,-3.1%,7 85,-6.7%,8 10,8 68
90043,3.7%,6 16,-2.3%,5 94,-5.9%,6 08,-7.6%,6 46,6 99
90044,1.5%,"1 ,724",-0.9%,"1 ,699",-4.3%,"1 ,714",-6.3%,"1 ,791","1 ,912"
90045,23.3%,3 7,7.1%,3 0,-6.7%,2 8,0.0%,3 0,3 0
90046,-1.3%,"1 ,979",7.7%,"2 ,006",12.4%,"1 ,862",11.4%,"1 ,656","1 ,487"
90047,9.6%,8 70,-2.6%,7 94,-6.0%,8 15,-6.7%,8 67,9 29
90048,59.7%,9 9,-1.6%,6 2,-16.0%,6 3,-5.1%,7 5,7 9
90049,47.5%,"1 ,600",10.3%,"1 ,085",20.7%,9 84,23.3%,8 15,6 61
90056,47.1%,2 5,13.3%,1 7,-11.8%,1 5,-29.2%,1 7,2 4
90057,-17.8%,6 0,1.4%,7 3,7.5%,7 2,-10.7%,6 7,7 5
90058,-8.5%,4 3,-7.8%,4 7,-3.8%,5 1,0.0%,5 3,5 3
90059,-1.6%,6 65,-5.5%,6 76,-4.5%,7 15,-4.5%,7 49,7 84
90061,-2.4%,4 38,-3.6%,4 49,-1.1%,4 66,-2.7%,4 71,4 84
90062,-1.5%,7 96,-0.1%,8 08,-8.1%,8 09,-5.8%,8 80,9 34
90063,-0.2%,"1 ,327",-3.1%,"1 ,330",-5.3%,"1 ,372",-4.0%,"1 ,449","1 ,510"
90064,40.0%,6 3,-2.2%,4 5,-13.2%,4 6,-1.9%,5 3,5 4
90065,9.5%,8 30,2.0%,7 58,-2.0%,7 43,-5.1%,7 58,7 99
90066,37.9%,9 1,4.8%,6 6,-13.7%,6 3,1.4%,7 3,7 2
90067,300.0%,8,0.0%,2,-33.3%,2,50.0%,3,2
90068,10.6%,"1 ,341",9.9%,"1 ,213",8.0%,"1 ,104",7.0%,"1 ,022",9 55
90069,26.8%,3 41,5.9%,2 69,22.7%,2 54,7.3%,2 07,1 93
90071,-100.0%,-,0.0%,1,0.0%,1,0.0%,-,-
90077,12.4%,"1 ,799",6.9%,"1 ,601",13.6%,"1 ,498",23.5%,"1 ,319","1 ,068"
90089,-20.0%,4,-28.6%,5,-12.5%,7,0.0%,8,8
90094,200.0%,6,0.0%,2,100.0%,2,0.0%,1,-
90095,-100.0%,-,0.0%,1,0.0%,1,0.0%,-,-
90201,9.3%,"1 ,038",1.1%,9 50,-3.4%,9 40,-2.1%,9 73,9 94
90210,4.9%,"2 ,221",10.1%,"2 ,118",19.8%,"1 ,923",26.5%,"1 ,605","1 ,269"
90211,42.9%,5 0,16.7%,3 5,-6.3%,3 0,-8.6%,3 2,3 5
90212,65.2%,3 8,21.1%,2 3,11.8%,1 9,13.3%,1 7,1 5
90220,2.8%,6 16,-0.5%,5 99,-5.3%,6 02,-5.4%,6 36,6 72
90221,-0.1%,7 50,-1.1%,7 51,-8.6%,7 59,-5.7%,8 30,8 80
90222,-5.7%,5 30,-2.9%,5 62,-5.9%,5 79,-5.8%,6 15,6 53
90230,29.6%,7 0,5.9%,5 4,2.0%,5 1,-7.4%,5 0,5 4
90232,0.0%,4 1,10.8%,4 1,-11.9%,3 7,-6.7%,4 2,4 5
90240,19.6%,1 28,-3.6%,1 07,-2.6%,1 11,-3.4%,1 14,1 18
90241,7.5%,1 29,3.4%,1 20,-5.7%,1 16,-6.8%,1 23,1 32
90242,10.6%,1 67,-0.7%,1 51,-7.3%,1 52,-3.5%,1 64,1 70
90245,175.0%,1 1,0.0%,4,-20.0%,4,0.0%,5,5
90247,3.2%,1 95,3.3%,1 89,-9.0%,1 83,-3.4%,2 01,2 08
90248,18.2%,5 2,2.3%,4 4,10.3%,4 3,-11.4%,3 9,4 4
90249,26.8%,9 0,0.0%,7 1,-5.3%,7 1,-16.7%,7 5,9 0
90250,8.1%,3 22,0.7%,2 98,-8.6%,2 96,-8.0%,3 24,3 52
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
90254,76.5%,3 0,30.8%,1 7,-7.1%,1 3,7.7%,1 4,1 3
90255,0.7%,"1 ,006",1.5%,9 99,-4.7%,9 84,-4.1%,"1 ,033","1 ,077"
90260,7.7%,1 40,-4.4%,1 30,-6.2%,1 36,-6.5%,1 45,1 55
90262,-0.5%,7 69,0.4%,7 73,-4.1%,7 70,-2.0%,8 03,8 19
90265,22.3%,"2 ,366",14.0%,"1 ,935",16.5%,"1 ,698",30.6%,"1 ,457","1 ,116"
90266,59.4%,5 1,10.3%,3 2,16.0%,2 9,-13.8%,2 5,2 9
90270,-2.4%,3 32,-2.0%,3 40,-3.3%,3 47,-3.8%,3 59,3 73
90272,85.0%,"1 ,430",19.5%,7 73,22.8%,6 47,46.4%,5 27,3 60
90274,75.0%,1 33,55.1%,7 6,19.5%,4 9,7.9%,4 1,3 8
90275,130.9%,1 57,17.2%,6 8,-3.3%,5 8,0.0%,6 0,6 0
90277,30.2%,5 6,10.3%,4 3,-7.1%,3 9,0.0%,4 2,4 2
90278,26.5%,4 3,21.4%,3 4,7.7%,2 8,-16.1%,2 6,3 1
90280,9.8%,"1 ,116",-2.1%,"1 ,016",-3.7%,"1 ,038",-2.1%,"1 ,078","1 ,101"
90290,-0.4%,"1 ,915",6.2%,"1 ,922",3.7%,"1 ,810",11.1%,"1 ,746","1 ,572"
90291,11.9%,1 41,3.3%,1 26,-6.2%,1 22,-6.5%,1 30,1 39
90292,163.6%,2 9,-21.4%,1 1,7.7%,1 4,-7.1%,1 3,1 4
90293,145.5%,2 7,37.5%,1 1,0.0%,8,14.3%,8,7
90301,-0.8%,2 50,0.8%,2 52,-8.1%,2 50,-3.2%,2 72,2 81
90302,-1.9%,2 10,0.0%,2 14,-4.9%,2 14,-5.5%,2 25,2 38
90303,20.2%,2 38,-0.5%,1 98,-10.4%,1 99,-3.5%,2 22,2 30
90304,-3.9%,2 70,-0.4%,2 81,-7.5%,2 82,-5.9%,3 05,3 24
90305,20.0%,1 14,-4.0%,9 5,-4.8%,9 9,-10.3%,1 04,1 16
90401,0.0%,3,0.0%,3,-100.0%,-,-66.7%,1,3
90402,128.2%,8 9,44.4%,3 9,3.8%,2 7,4.0%,2 6,2 5
90403,36.0%,3 4,0.0%,2 5,-21.9%,2 5,28.0%,3 2,2 5
90404,40.0%,4 2,-3.2%,3 0,-6.1%,3 1,10.0%,3 3,3 0
90405,5.3%,6 0,11.8%,5 7,2.0%,5 1,-2.0%,5 0,5 1
90501,18.9%,1 13,0.0%,9 5,-5.9%,9 5,3.1%,1 01,9 8
90502,33.3%,5 6,-2.3%,4 2,-2.3%,4 3,2.3%,4 4,4 3
90503,76.2%,3 7,5.0%,2 1,0.0%,2 0,-13.0%,2 0,2 3
90504,76.2%,3 7,16.7%,2 1,-18.2%,1 8,0.0%,2 2,2 2
90505,94.7%,3 7,0.0%,1 9,5.6%,1 9,-5.3%,1 8,1 9
90601,27.6%,3 65,7.9%,2 86,4.3%,2 65,2.4%,2 54,2 48
90602,18.1%,1 70,0.0%,1 44,-3.4%,1 44,-5.7%,1 49,1 58
90603,38.8%,6 8,16.7%,4 9,-2.3%,4 2,30.3%,4 3,3 3
90604,-1.0%,1 02,7.3%,1 03,-5.9%,9 6,3.0%,1 02,9 9
90605,-0.4%,2 32,-0.9%,2 33,-4.5%,2 35,-0.4%,2 46,2 47
90606,-5.8%,1 95,0.0%,2 07,-5.5%,2 07,-6.4%,2 19,2 34
90638,43.4%,1 09,18.8%,7 6,-1.5%,6 4,-12.2%,6 5,7 4
90640,6.3%,3 19,0.3%,3 00,-4.5%,2 99,-7.9%,3 13,3 40
90650,13.5%,4 45,0.3%,3 92,-3.2%,3 91,-8.6%,4 04,4 42
90660,0.8%,4 02,0.0%,3 99,-8.9%,3 99,-3.5%,4 38,4 54
90670,0.0%,4 7,14.6%,4 7,-4.7%,4 1,-2.3%,4 3,4 4
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
90701,16.9%,7 6,-7.1%,6 5,-2.8%,7 0,-1.4%,7 2,7 3
90703,62.7%,9 6,28.3%,5 9,-19.3%,4 6,-8.1%,5 7,6 2
90704,2.7%,2 63,26.7%,2 56,49.6%,2 02,42.1%,1 35,9 5
90706,18.3%,2 58,-1.8%,2 18,-6.3%,2 22,-5.2%,2 37,2 50
90710,53.1%,9 8,10.3%,6 4,0.0%,5 8,0.0%,5 8,5 8
90712,26.2%,5 3,31.3%,4 2,-13.5%,3 2,-15.9%,3 7,4 4
90713,4.0%,2 6,-7.4%,2 5,-3.6%,2 7,3.7%,2 8,2 7
90715,5.5%,7 7,9.0%,7 3,-10.7%,6 7,-7.4%,7 5,8 1
90716,-3.8%,7 7,1.3%,8 0,-9.2%,7 9,-2.2%,8 7,8 9
90717,10.5%,6 3,-1.7%,5 7,-4.9%,5 8,-6.2%,6 1,6 5
90723,13.1%,3 27,1.8%,2 89,-6.3%,2 84,-6.5%,3 03,3 24
90731,13.1%,2 59,9.6%,2 29,-5.4%,2 09,-9.4%,2 21,2 44
90732,147.1%,4 2,6.3%,1 7,-5.9%,1 6,-19.0%,1 7,2 1
90744,1.2%,3 42,-2.3%,3 38,-5.7%,3 46,-8.9%,3 67,4 03
90745,19.5%,2 02,3.7%,1 69,-11.9%,1 63,-10.6%,1 85,2 07
90746,26.3%,1 97,5.4%,1 56,0.0%,1 48,5.7%,1 48,1 40
90755,3.3%,3 1,20.0%,3 0,4.2%,2 5,-17.2%,2 4,2 9
90802,54.2%,9 1,7.3%,5 9,-8.3%,5 5,-7.7%,6 0,6 5
90803,151.7%,7 3,16.0%,2 9,4.2%,2 5,0.0%,2 4,2 4
90804,-0.8%,1 20,6.1%,1 21,-6.6%,1 14,-6.2%,1 22,1 30
90805,-0.2%,4 76,1.3%,4 77,-4.8%,4 71,-8.7%,4 95,5 42
90806,2.8%,2 20,0.0%,2 14,-4.5%,2 14,-2.6%,2 24,2 30
90807,36.7%,6 7,-9.3%,4 9,-10.0%,5 4,-6.3%,6 0,6 4
90808,50.0%,3 3,15.8%,2 2,0.0%,1 9,18.8%,1 9,1 6
90810,9.6%,2 06,-2.6%,1 88,-3.5%,1 93,-7.8%,2 00,2 17
90813,0.8%,2 52,-2.0%,2 50,-3.8%,2 55,-4.7%,2 65,2 78
90814,63.3%,4 9,0.0%,3 0,-14.3%,3 0,-10.3%,3 5,3 9
90815,83.3%,2 2,-40.0%,1 2,-13.0%,2 0,9.5%,2 3,2 1
91001,28.8%,9 58,14.3%,7 44,-0.9%,6 51,-1.9%,6 57,6 70
91006,67.4%,2 93,28.7%,1 75,-6.2%,1 36,-3.3%,1 45,1 50
91007,62.4%,1 38,18.1%,8 5,-2.7%,7 2,0.0%,7 4,7 4
91008,21.8%,1 23,12.2%,1 01,-6.3%,9 0,6.7%,9 6,9 0
91010,52.9%,2 60,5.6%,1 70,-5.8%,1 61,-9.5%,1 71,1 89
91011,70.3%,8 07,20.3%,4 74,7.9%,3 94,0.0%,3 65,3 65
91016,47.7%,4 89,18.6%,3 31,-4.1%,2 79,-3.6%,2 91,3 02
91020,78.4%,6 6,27.6%,3 7,7.4%,2 9,8.0%,2 7,2 5
91024,20.9%,3 94,6.2%,3 26,-6.1%,3 07,-5.8%,3 27,3 47
91030,40.3%,2 02,20.0%,1 44,-4.8%,1 20,-3.1%,1 26,1 30
91040,42.8%,7 04,16.0%,4 93,-0.5%,4 25,1.4%,4 27,4 21
91042,34.0%,"1 ,010",13.6%,7 54,-4.5%,6 64,-2.1%,6 95,7 10
91101,8.2%,5 3,32.4%,4 9,5.7%,3 7,-10.3%,3 5,3 9
91103,10.3%,3 42,11.9%,3 10,-0.7%,2 77,-0.4%,2 79,2 80
91104,24.9%,2 66,-2.7%,2 13,1.9%,2 19,-8.9%,2 15,2 36
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
91105,27.5%,2 60,19.3%,2 04,18.8%,1 71,15.2%,1 44,1 25
91106,22.2%,8 8,4.3%,7 2,0.0%,6 9,-5.5%,6 9,7 3
91107,62.1%,4 57,9.7%,2 82,-5.5%,2 57,5.0%,2 72,2 59
91108,67.2%,9 7,1.8%,5 8,11.8%,5 7,-7.3%,5 1,5 5
91201,63.5%,1 70,9.5%,1 04,-5.0%,9 5,-5.7%,1 00,1 06
91202,71.7%,2 61,16.0%,1 52,1.6%,1 31,-5.1%,1 29,1 36
91203,25.0%,4 5,20.0%,3 6,-16.7%,3 0,-14.3%,3 6,4 2
91204,13.3%,5 1,9.8%,4 5,-16.3%,4 1,-3.9%,4 9,5 1
91205,14.7%,1 09,-1.0%,9 5,-5.9%,9 6,-8.9%,1 02,1 12
91206,12.0%,7 09,10.7%,6 33,-0.3%,5 72,1.2%,5 74,5 67
91207,90.9%,2 73,19.2%,1 43,6.2%,1 20,-0.9%,1 13,1 14
91208,54.3%,7 53,20.8%,4 88,2.8%,4 04,-4.8%,3 93,4 13
91214,97.1%,6 84,33.5%,3 47,1.6%,2 60,-10.5%,2 56,2 86
91301,79.3%,"1 ,151",34.6%,6 42,16.3%,4 77,28.1%,4 10,3 20
91302,75.4%,"1 ,922",24.8%,"1 ,096",15.1%,8 78,28.2%,7 63,5 95
91303,13.2%,8 6,1.3%,7 6,-6.3%,7 5,6.7%,8 0,7 5
91304,57.4%,6 14,15.7%,3 90,3.4%,3 37,9.0%,3 26,2 99
91306,30.6%,2 09,8.1%,1 60,-3.9%,1 48,-5.5%,1 54,1 63
91307,64.0%,5 46,22.0%,3 33,37.9%,2 73,1.5%,1 98,1 95
91311,84.5%,6 79,16.5%,3 68,10.9%,3 16,15.9%,2 85,2 46
91316,155.2%,4 95,25.2%,1 94,7.6%,1 55,30.9%,1 44,1 10
91321,122.6%,7 97,52.3%,3 58,12.4%,2 35,34.0%,2 09,1 56
91324,40.0%,9 1,10.2%,6 5,-6.3%,5 9,-7.4%,6 3,6 8
91325,39.8%,1 51,10.2%,1 08,-4.9%,9 8,7.3%,1 03,9 6
91326,135.2%,6 02,62.0%,2 56,3.9%,1 58,10.1%,1 52,1 38
91330,0.0%,-,0.0%,-,0.0%,-,-100.0%,-,1
91331,9.3%,9 80,4.7%,8 97,-1.7%,8 57,-5.9%,8 72,9 27
91335,22.5%,4 41,6.2%,3 60,-2.9%,3 39,-4.9%,3 49,3 67
91340,16.8%,3 89,5.4%,3 33,-4.0%,3 16,-7.1%,3 29,3 54
91342,39.6%,"1 ,681",26.2%,"1 ,204",2.1%,9 54,4.8%,9 34,8 91
91343,17.7%,2 46,12.4%,2 09,-3.1%,1 86,-1.5%,1 92,1 95
91344,58.7%,5 19,12.8%,3 27,0.3%,2 90,-1.4%,2 89,2 93
91345,27.5%,1 39,12.4%,1 09,-6.7%,9 7,-7.1%,1 04,1 12
91350,119.1%,5 85,36.9%,2 67,6.0%,1 95,30.5%,1 84,1 41
91351,131.2%,5 11,50.3%,2 21,-0.7%,1 47,23.3%,1 48,1 20
91352,19.3%,6 79,7.2%,5 69,-4.0%,5 31,-3.5%,5 53,5 73
91354,282.0%,3 82,85.2%,1 00,12.5%,5 4,14.3%,4 8,4 2
91355,463.2%,1 07,90.0%,1 9,0.0%,1 0,0.0%,1 0,1 0
91356,160.4%,8 02,26.7%,3 08,6.6%,2 43,20.0%,2 28,1 90
91364,95.1%,9 48,35.8%,4 86,0.8%,3 58,26.3%,3 55,2 81
91367,122.8%,3 03,15.3%,1 36,-0.8%,1 18,-2.5%,1 19,1 22
91381,185.5%,5 51,39.9%,1 93,34.0%,1 38,22.6%,1 03,8 4
91384,41.6%,"1 ,592",20.0%,"1 ,124",45.0%,9 37,25.7%,6 46,5 14
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of,09/30/2024. Totals by report may,vary based on data,source.,,,,,,
ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
91387,104.4%,"1 ,429",45.0%,6 99,10.3%,4 82,35.3%,4 37,3 23
91390,48.6%,"1 ,288",11.9%,8 67,11.0%,7 75,21.4%,6 98,5 75
91401,39.7%,1 62,6.4%,1 16,-6.8%,1 09,-8.6%,1 17,1 28
91402,24.3%,2 92,-2.1%,2 35,-2.0%,2 40,-3.9%,2 45,2 55
91403,36.0%,6 04,20.3%,4 44,19.0%,3 69,20.6%,3 10,2 57
91405,8.9%,1 71,6.1%,1 57,-1.3%,1 48,-8.5%,1 50,1 64
91406,18.1%,2 02,-3.4%,1 71,-4.8%,1 77,-6.1%,1 86,1 98
